"name","team","sport","event","year"
"Edgar Lindenau Aabye","Denmark/Sweden","Tug-Of-War","Tug-Of-War Men's Tug-Of-War",1900
"Paavo Johannes Aaltonen","Finland","Gymnastics","Gymnastics Men's Team All-Around",1948
"Paavo Johannes Aaltonen","Finland","Gymnastics","Gymnastics Men's Horse Vault",1948
"Paavo Johannes Aaltonen","Finland","Gymnastics","Gymnastics Men's Pommelled Horse",1948
"Kjetil Andr Aamodt","Norway","Alpine Skiing","Alpine Skiing Men's Super G",1992
"Kjetil Andr Aamodt","Norway","Alpine Skiing","Alpine Skiing Men's Super G",2002
"Kjetil Andr Aamodt","Norway","Alpine Skiing","Alpine Skiing Men's Combined",2002
"Kjetil Andr Aamodt","Norway","Alpine Skiing","Alpine Skiing Men's Super G",2006
"Ragnhild Margrethe Aamodt","Norway","Handball","Handball Women's Handball",2008
"Roald Edgar Aas","Norway","Speed Skating","Speed Skating Men's 1,500 metres",1960
"Thomas Valentin Aas","Taifun","Sailing","Sailing Mixed 8 metres",1912
"Ren Abadie","France","Cycling","Cycling Men's Road Race, Team",1956
"Aleksey Aleksandrovich Abalmasov","Belarus","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",2008
"Luc Abalo","France","Handball","Handball Men's Handball",2008
"Luc Abalo","France","Handball","Handball Men's Handball",2012
"Jouan Patrice Abanda Etong","Cameroon","Football","Football Men's Football",2000
"Jos Mara Abarca Plotas","Spain","Water Polo","Water Polo Men's Water Polo",1996
"Alejandro Abascal Garca","Spain","Sailing","Sailing Mixed Two Person Heavyweight Dinghy",1980
"Jol Marc Abati","France","Handball","Handball Men's Handball",2008
"Agostino Abbagnale","Italy","Rowing","Rowing Men's Quadruple Sculls",1988
"Agostino Abbagnale","Italy","Rowing","Rowing Men's Double Sculls",1996
"Agostino Abbagnale","Italy","Rowing","Rowing Men's Quadruple Sculls",2000
"Carmine Abbagnale","Italy","Rowing","Rowing Men's Coxed Pairs",1984
"Carmine Abbagnale","Italy","Rowing","Rowing Men's Coxed Pairs",1988
"Giuseppe Abbagnale","Italy","Rowing","Rowing Men's Coxed Pairs",1984
"Giuseppe Abbagnale","Italy","Rowing","Rowing Men's Coxed Pairs",1988
"Margaret Ives Abbott (-Dunne)","United States","Golf","Golf Women's Individual",1900
"Lala Abdul Rashid","Pakistan","Hockey","Hockey Men's Hockey",1960
"Zagalav Abdulbekovich Abdulbekov","Soviet Union","Wrestling","Wrestling Men's Featherweight, Freestyle",1972
"Mukhammad Kadyr Abdullayev","Uzbekistan","Boxing","Boxing Men's Light-Welterweight",2000
"Namiq Yadulla Abdullayev","Azerbaijan","Wrestling","Wrestling Men's Bantamweight, Freestyle",2000
"Julius Shareef Abdur-Rahim","United States","Basketball","Basketball Men's Basketball",2000
"Andrey Khakimovich Abduvaliyev","Unified Team","Athletics","Athletics Men's Hammer Throw",1992
"Masashi Abe","Japan","Nordic Combined","Nordic Combined Men's Team",1994
"George Gordon Abel","Canada","Ice Hockey","Ice Hockey Men's Ice Hockey",1952
"Abelardo Fernndez Antua","Spain","Football","Football Men's Football",1992
"Louis Grenville ""Lou"" Abell","Vesper Boat Club","Rowing","Rowing Men's Coxed Eights",1900
"Louis Grenville ""Lou"" Abell","Vesper Boat Club","Rowing","Rowing Men's Coxed Eights",1904
"Gezahgne Abera","Ethiopia","Athletics","Athletics Men's Marathon",2000
"Michael Brent Abernathy","United States","Baseball","Baseball Men's Baseball",2000
"Ismail Abilov (-Nizamolu)","Bulgaria","Wrestling","Wrestling Men's Middleweight, Freestyle",1980
"Edgar Allen ""Ed"" Ablowich","United States","Athletics","Athletics Men's 4 x 400 metres Relay",1932
"Attila brahm","Hungary","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",1988
"Harold Maurice Abrahams","Great Britain","Athletics","Athletics Men's 100 metres",1924
"Isak Abrahamsen","Norway","Gymnastics","Gymnastics Men's Team All-Around, Free System",1912
"Saypulla Atavovich Absaidov","Soviet Union","Wrestling","Wrestling Men's Lightweight, Freestyle",1980
"Julien Absalon","France","Cycling","Cycling Men's Mountainbike, Cross-Country",2004
"Julien Absalon","France","Cycling","Cycling Men's Mountainbike, Cross-Country",2008
"Ahmad Abughaush","Jordan","Taekwondo","Taekwondo Men's Featherweight",2016
"Magomedgasan Mingazhutdinovich Abushev","Soviet Union","Wrestling","Wrestling Men's Featherweight, Freestyle",1980
"William Accambray","France","Handball","Handball Men's Handball",2012
"Fausto Alesio Acke (Padovini-)","Sweden","Gymnastics","Gymnastics Men's Team All-Around, Swedish System",1920
"Paul Douglas Ackerley","New Zealand","Hockey","Hockey Men's Hockey",1976
"Charles Edwin ""Charley"" Ackerly","United States","Wrestling","Wrestling Men's Featherweight, Freestyle",1920
"Donat Acklin","Switzerland-1","Bobsleigh","Bobsleigh Men's Two",1992
"Donat Acklin","Switzerland-1","Bobsleigh","Bobsleigh Men's Two",1994
"Lautaro Germn Acosta","Argentina","Football","Football Men's Football",2008
"Bashir Ahmed","Pakistan","Hockey","Hockey Men's Hockey",1960
"Gordon Belgum ""Gordy"" Adam","United States","Rowing","Rowing Men's Coxed Eights",1936
"Michael B. ""Mike"" Adam","Canada","Curling","Curling Men's Curling",2006
"Pierre Louis Eugne Adam","France","Cycling","Cycling Men's Team Pursuit, 4,000 metres",1948
"Harry Lester Adams","United States","Shooting","Shooting Men's Military Rifle, 200, 400, 500 and 600 metres, Team",1912
"Nicola Virginia Adams","Great Britain","Boxing","Boxing Women's Flyweight",2012
"Nicola Virginia Adams","Great Britain","Boxing","Boxing Women's Flyweight",2016
"Platt Adams","United States","Athletics","Athletics Men's Standing High Jump",1912
"Valerie Kasanita Adams-Vili (-Price)","New Zealand","Athletics","Athletics Women's Shot Put",2008
"Valerie Kasanita Adams-Vili (-Price)","New Zealand","Athletics","Athletics Women's Shot Put",2012
"Filip Kamil Adamski","Germany","Rowing","Rowing Men's Coxed Eights",2012
"Herbert Adamski","Germany","Rowing","Rowing Men's Coxed Pairs",1936
"Adenzia Aparecida Ferreira da Silva","Brazil","Volleyball","Volleyball Women's Volleyball",2012
"Franck Adisson","France-1","Canoeing","Canoeing Men's Canadian Doubles, Slalom",1996
"Charles ""Chuck"" Adkins","United States","Boxing","Boxing Men's Light-Welterweight",1952
"Derrick Ralph Adkins","United States","Athletics","Athletics Men's 400 metres Hurdles",1996
"Nils August Domingo Adlercreutz","Sweden","Equestrianism","Equestrianism Men's Three-Day Event, Team",1912
"Erik William Adlerz","Sweden","Diving","Diving Men's Platform",1912
"Erik William Adlerz","Sweden","Diving","Diving Men's Plain High",1912
"Rebecca ""Becky"" Adlington","Great Britain","Swimming","Swimming Women's 400 metres Freestyle",2008
"Rebecca ""Becky"" Adlington","Great Britain","Swimming","Swimming Women's 800 metres Freestyle",2008
"Nathan Ghar-Jun Adrian","United States","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",2008
"Nathan Ghar-Jun Adrian","United States","Swimming","Swimming Men's 100 metres Freestyle",2012
"Nathan Ghar-Jun Adrian","United States","Swimming","Swimming Men's 4 x 100 metres Medley Relay",2012
"Nathan Ghar-Jun Adrian","United States","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",2016
"Nathan Ghar-Jun Adrian","United States","Swimming","Swimming Men's 4 x 100 metres Medley Relay",2016
"Lavinia Agache (-Carney)","Romania","Gymnastics","Gymnastics Women's Team All-Around",1984
"Andre Kirk Agassi","United States","Tennis","Tennis Men's Singles",1996
"Marilyn Agliotti","Netherlands","Hockey","Hockey Women's Hockey",2008
"Marilyn Agliotti","Netherlands","Hockey","Hockey Women's Hockey",2012
"Yannick Agnel","France","Swimming","Swimming Men's 200 metres Freestyle",2012
"Yannick Agnel","France","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay",2012
"Meghan Christina Agosta (-Marciano)","Canada","Ice Hockey","Ice Hockey Women's Ice Hockey",2006
"Meghan Christina Agosta (-Marciano)","Canada","Ice Hockey","Ice Hockey Women's Ice Hockey",2010
"Meghan Christina Agosta (-Marciano)","Canada","Ice Hockey","Ice Hockey Women's Ice Hockey",2014
"Judit goston-Mendelnyi","Hungary","Fencing","Fencing Women's Foil, Team",1964
"Carlo Agostoni Faini","Italy","Fencing","Fencing Men's epee, Team",1928
"Ioannis Agrimis","Large boat, Central Naval Prep School ""Poros""-1","Rowing","Rowing Men's 17-Man Naval Rowing Boats",1906
"Estella ""Stella"" Agsteribbe (-Blits)","Netherlands","Gymnastics","Gymnastics Women's Team All-Around",1928
"Sergio Leonel Agero del Castillo","Argentina","Football","Football Men's Football",2008
"Taismary ""Tai"" Agero Leiva (-Botteghi)","Cuba","Volleyball","Volleyball Women's Volleyball",2000
"Timothy Joseph ""Tim"" Ahearne","Great Britain","Athletics","Athletics Men's Triple Jump",1908
"George Lewis Ahlgren","United States","Rowing","Rowing Men's Coxed Eights",1948
"Tontowi Ahmad","Indonesia-1","Badminton","Badminton Mixed Doubles",2016
"Arne Per hman","Sweden","Athletics","Athletics Men's Triple Jump",1948
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","United States","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",1992
"Christine M. ""Crissy"" Ahmann-Leighton (-Perham)","United States","Swimming","Swimming Women's 4 x 100 metres Medley Relay",1992
"Muhammad Ashfaq Ahmed","Pakistan","Hockey","Hockey Men's Hockey",1968
"Ishtiaq Ahmed","Pakistan","Hockey","Hockey Men's Hockey",1984
"Mushtaq Ahmed","Pakistan","Hockey","Hockey Men's Hockey",1984
"Mushtaq Ahmed","Pakistan","Hockey","Hockey Men's Hockey",1960
"Riaz Ahmed","Pakistan","Hockey","Hockey Men's Hockey",1968
"Brigitte Ahrenholz","East Germany","Rowing","Rowing Women's Coxed Eights",1976
"Christian ""Chris"" Ahrens","United States","Rowing","Rowing Men's Coxed Eights",2004
"Nobuyuki Aihara","Japan","Gymnastics","Gymnastics Men's Team All-Around",1960
"Nobuyuki Aihara","Japan","Gymnastics","Gymnastics Men's Floor Exercise",1960
"Charles Benedict ""Ben"" Ainslie","Great Britain","Sailing","Sailing Mixed One Person Dinghy",2000
"Charles Benedict ""Ben"" Ainslie","Great Britain","Sailing","Sailing Men's One Person Dinghy",2004
"Charles Benedict ""Ben"" Ainslie","Great Britain","Sailing","Sailing Mixed One Person Dinghy",2008
"Charles Benedict ""Ben"" Ainslie","Great Britain","Sailing","Sailing Men's One Person Heavyweight Dinghy",2012
"Kurt Harold Ainsworth","United States","Baseball","Baseball Men's Baseball",2000
"John Creyghton Ainsworth-Davis","Great Britain","Athletics","Athletics Men's 4 x 400 metres Relay",1920
"Brett Aitken","Australia","Cycling","Cycling Men's Madison",2000
"Vladimir Atoff","Union des Socits Franais de Sports Athletiques","Rugby","Rugby Men's Rugby",1900
"Artur Surenovych Aivazian","Ukraine","Shooting","Shooting Men's Small-Bore Rifle, Prone, 50 metres",2008
"Omar Ajete Iglesias","Cuba","Baseball","Baseball Men's Baseball",1992
"Omar Ajete Iglesias","Cuba","Baseball","Baseball Men's Baseball",1996
"Chioma Ajunwa (-Opara)","Nigeria","Athletics","Athletics Women's Long Jump",1996
"Nasuh Akar","Turkey","Wrestling","Wrestling Men's Bantamweight, Freestyle",1948
"Ernst Gunnar kerlund","Sweden","Canoeing","Canoeing Men's Kayak Doubles, 10,000 metres",1948
"Olle Erik Curys kerlund","Bissbi","Sailing","Sailing Mixed 6 metres",1932
"Michelle Anne Akers","United States","Football","Football Women's Football",1996
"Taha Akgl","Turkey","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle",2016
"Yelena Rabigovna Akhaminova (-Sokolovskaya)","Soviet Union","Volleyball","Volleyball Women's Volleyball",1980
"Albina Khamitovna Akhatova","Russia","Biathlon","Biathlon Women's 4 x 6 kilometres Relay",2006
"Artur Kamilevich Akhmatkhuzin","Russia","Fencing","Fencing Men's Foil, Team",2016
"Gulraiz Akhtar","Pakistan","Hockey","Hockey Men's Hockey",1968
"Naeem Akhtar","Pakistan","Hockey","Hockey Men's Hockey",1984
"John Akii-Bua","Uganda","Athletics","Athletics Men's 400 metres Hurdles",1972
"Anatoly Ivanovich Akimov","Soviet Union","Water Polo","Water Polo Men's Water Polo",1972
"Vladimir Ivanovich Akimov","Soviet Union","Water Polo","Water Polo Men's Water Polo",1980
"Morolake Akinosun","United States","Athletics","Athletics Women's 4 x 100 metres Relay",2016
"Aleksandr Timofeyevich Aksinin","Soviet Union","Athletics","Athletics Men's 4 x 100 metres Relay",1980
"Fehaid Al-Deehani","Individual Olympic Athletes","Shooting","Shooting Men's Double Trap",2016
"Abdul Rashid Al-Hasan","Pakistan","Hockey","Hockey Men's Hockey",1984
"Ahmed bin Hasher Al-Maktoum","United Arab Emirates","Shooting","Shooting Men's Double Trap",2004
"Marina Alabau Neira","Spain","Sailing","Sailing Women's Windsurfer",2012
"Noor Alam","Pakistan","Hockey","Hockey Men's Hockey",1960
"Toimi Johannes Alatalo","Finland","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",1960
"Marco Albarello","Italy","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",1994
"A. Albert","Union des Socits Franais de Sports Athletiques","Rugby","Rugby Men's Rugby",1900
"Georg Albert Christian Albertsen","Denmark","Gymnastics","Gymnastics Men's Team All-Around, Free System",1920
"Islam-Beka Said-Tsilimovich Albiyev","Russia","Wrestling","Wrestling Men's Lightweight, Greco-Roman",2008
"mile Albrecht","Switzerland","Rowing","Rowing Men's Coxed Fours",1924
"John Robert Albrechtson","Sweden","Sailing","Sailing Mixed Two Person Keelboat",1976
"Tenley Emma Albright (-Gardiner, -Blakely)","United States","Figure Skating","Figure Skating Women's Singles",1956
"Andrs Aldama Cabrera","Cuba","Boxing","Boxing Men's Welterweight",1980
"Frederick Pitt ""Fred"" Alderman","United States","Athletics","Athletics Men's 4 x 400 metres Relay",1928
"Jo Qesem Ayela Aleh","New Zealand","Sailing","Sailing Women's Two Person Dinghy",2012
"Virgilijus Alekna","Lithuania","Athletics","Athletics Men's Discus Throw",2000
"Virgilijus Alekna","Lithuania","Athletics","Athletics Men's Discus Throw",2004
"Boris Viktorovich Aleksandrov","Soviet Union","Ice Hockey","Ice Hockey Men's Ice Hockey",1976
"Veniamin Veniaminovich Aleksandrov","Soviet Union","Ice Hockey","Ice Hockey Men's Ice Hockey",1964
"Veniamin Veniaminovich Aleksandrov","Soviet Union","Ice Hockey","Ice Hockey Men's Ice Hockey",1968
"Larisa Aleksandrova-Popova","Soviet Union","Rowing","Rowing Women's Double Sculls",1980
"Artur Aleksanyan","Armenia","Wrestling","Wrestling Men's Heavyweight, Greco-Roman",2016
"Vasily Ivanovich Alekseyev","Soviet Union","Weightlifting","Weightlifting Men's Super-Heavyweight",1972
"Vasily Ivanovich Alekseyev","Soviet Union","Weightlifting","Weightlifting Men's Super-Heavyweight",1976
"Milan Aleksi","Serbia","Water Polo","Water Polo Men's Water Polo",2016
"Marc Robert Alexandre","France","Judo","Judo Men's Lightweight",1988
"Alfonso Prez Muoz","Spain","Football","Football Men's Football",1992
"Stephen Todd ""Steve"" Alford","United States","Basketball","Basketball Men's Basketball",1984
"Hans Daniel Alfredsson","Sweden","Ice Hockey","Ice Hockey Men's Ice Hockey",2006
"Ulf Hkan Gran Algotsson","Sweden","Ice Hockey","Ice Hockey Men's Ice Hockey",1994
"Nasir Ali","Pakistan","Hockey","Hockey Men's Hockey",1984
"Shaukat Ali","India","Hockey","Hockey Men's Hockey",1928
"Syed Mushtaq Ali","India","Hockey","Hockey Men's Hockey",1964
"Gaston Jules Louis Antoine Alibert","France","Fencing","Fencing Men's epee, Individual",1908
"Gaston Jules Louis Antoine Alibert","France","Fencing","Fencing Men's epee, Team",1908
"Sergey Gennadyevich Alifirenko","Russia","Shooting","Shooting Men's Rapid-Fire Pistol, 25 metres",2000
"Vladimir Aleksandrovich Alikin","Soviet Union","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",1980
"Aleksey Aleksandrovich Alipov","Russia","Shooting","Shooting Men's Trap",2004
"Georgios Aliprantis","Greece","Gymnastics","Gymnastics Men's Rope Climbing",1906
"Alison Conte Cerutti","Brazil-1","Beach Volleyball","Beach Volleyball Men's Beach Volleyball",2016
"Margarita Sergeyevna Aliychuk","Russia","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group",2008
"Alphonse Allaert","Belgium","Archery","Archery Men's Target Archery, 33 metres, Team",1920
"Alphonse Allaert","Belgium","Archery","Archery Men's Target Archery, 50 metres, Team",1920
"William Charles ""Bill"" Allen","United States","Sailing","Sailing Mixed Three Person Keelboat",1972
"Katherine Jessie Jean ""Kate"" Allen (-Diechtler)","Austria","Triathlon","Triathlon Women's Olympic Distance",2004
"Kate Ruth ""Katie"" Allen","Australia","Hockey","Hockey Women's Hockey",2000
"Walter Ray Allen","United States","Basketball","Basketball Men's Basketball",2000
"Richard James Allen","India","Hockey","Hockey Men's Hockey",1928
"Richard James Allen","India","Hockey","Hockey Men's Hockey",1932
"Richard James Allen","India","Hockey","Hockey Men's Hockey",1936
"Wyatt Allen","United States","Rowing","Rowing Men's Coxed Eights",2004
"Arthur Allers","Heira II","Sailing","Sailing Mixed 12 metres",1920
"Ejler Arild Emil Allert","Nykjbings paa Falster","Rowing","Rowing Men's Coxed Fours, Inriggers",1912
"Derek Swithin Allhusen","Great Britain","Equestrianism","Equestrianism Mixed Three-Day Event, Team",1968
"Antonio Allocchio","Italy","Fencing","Fencing Men's epee, Team",1920
"Lynne Marie Allsup (-Olson)","United States","Swimming","Swimming Women's 4 x 100 metres Freestyle Relay",1964
"Carmela Allucci","Italy","Water Polo","Water Polo Women's Water Polo",2004
"Aleksandr Davletovich Almetov","Soviet Union","Ice Hockey","Ice Hockey Men's Ice Hockey",1964
"Nicolas Alnoudji","Cameroon","Football","Football Men's Football",2000
"Thomas Alsgaard (Alsgrd-)","Norway","Cross Country Skiing","Cross Country Skiing Men's 30 kilometres",1994
"Thomas Alsgaard (Alsgrd-)","Norway","Cross Country Skiing","Cross Country Skiing Men's 10/15 kilometres Pursuit",1998
"Thomas Alsgaard (Alsgrd-)","Norway","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",1998
"Thomas Alsgaard (Alsgrd-)","Norway","Cross Country Skiing","Cross Country Skiing Men's 10/10 kilometres Pursuit",2002
"Thomas Alsgaard (Alsgrd-)","Norway","Cross Country Skiing","Cross Country Skiing Men's 4 x 10 kilometres Relay",2002
"Ida Alstad","Norway","Handball","Handball Women's Handball",2012
"Robert Alt","Switzerland-1","Bobsleigh","Bobsleigh Men's Four",1956
"Jeannette Eleanor Altwegg (-Wirz)","Great Britain","Figure Skating","Figure Skating Women's Singles",1952
"Jos Mara lvarez de las Asturias Bohorques y Goyeneche","Spain","Equestrianism","Equestrianism Men's Jumping, Team",1928
"Anatoly Nikolayevich Alyabyev","Soviet Union","Biathlon","Biathlon Men's 20 kilometres",1980
"Anatoly Nikolayevich Alyabyev","Soviet Union","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",1980
"Nikolay Aleksandrovich Alyokhin","Soviet Union","Fencing","Fencing Men's Sabre, Team",1980
"Simona Amnar (-Tabr)","Romania","Gymnastics","Gymnastics Women's Horse Vault",1996
"Simona Amnar (-Tabr)","Romania","Gymnastics","Gymnastics Women's Individual All-Around",2000
"Simona Amnar (-Tabr)","Romania","Gymnastics","Gymnastics Women's Team All-Around",2000
"Max Amann","Germany","Water Polo","Water Polo Men's Water Polo",1928
"Jean-Pierre Bernard Andr Amat","France","Shooting","Shooting Men's Small-Bore Rifle, Three Positions, 50 metres",1996
"Amauri Ribeiro","Brazil","Volleyball","Volleyball Men's Volleyball",1992
"Jos Emilio Amavisca Grate","Spain","Football","Football Men's Football",1992
"Amedeo Ambron","Italy","Water Polo","Water Polo Men's Water Polo",1960
"Christie Ambrosi","United States","Softball","Softball Women's Softball",2000
"Mikls Ambrus","Hungary","Water Polo","Water Polo Men's Water Polo",1964
"Rolf-Dieter Amend","East Germany-1","Canoeing","Canoeing Men's Canadian Doubles, Slalom",1972
"Joseph Brian ""Joe"" Amlong","United States","Rowing","Rowing Men's Coxed Eights",1964
"Thomas Kennedy ""Tom"" Amlong","United States","Rowing","Rowing Men's Coxed Eights",1964
"Simon Ammann","Switzerland","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",2002
"Simon Ammann","Switzerland","Ski Jumping","Ski Jumping Men's Large Hill, Individual",2002
"Simon Ammann","Switzerland","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",2010
"Simon Ammann","Switzerland","Ski Jumping","Ski Jumping Men's Large Hill, Individual",2010
"Daniel Owofin Amokachi","Nigeria","Football","Football Men's Football",1996
"Edward John Amoore","Great Britain","Shooting","Shooting Men's Small-Bore Rifle, 50 and 100 yards, Team",1908
"Zinaida Stepanovna Amosova (Shishkina-)","Soviet Union","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",1976
"Uwe Ampler","East Germany","Cycling","Cycling Men's 100 kilometres Team Time Trial",1988
"Steinar Amundsen","Norway","Canoeing","Canoeing Men's Kayak Fours, 1,000 metres",1968
"Emmanuel Amunike","Nigeria","Football","Football Men's Football",1996
"Francis ""Frank"" Amyot","Canada","Canoeing","Canoeing Men's Canadian Singles, 1,000 metres",1936
"An Byeong-Geun","South Korea","Judo","Judo Men's Lightweight",1984
"An Han-Bong","South Korea","Wrestling","Wrestling Men's Bantamweight, Greco-Roman",1992
"An Kum-Ae","North Korea","Judo","Judo Women's Half-Lightweight",2012
"An Sang-Mi","South Korea","Short Track Speed Skating","Short Track Speed Skating Women's 3,000 metres Relay",1998
"Viktor An","South Korea","Short Track Speed Skating","Short Track Speed Skating Men's 1,000 metres",2006
"Viktor An","South Korea","Short Track Speed Skating","Short Track Speed Skating Men's 1,500 metres",2006
"Viktor An","South Korea","Short Track Speed Skating","Short Track Speed Skating Men's 5,000 metres Relay",2006
"Viktor An","Russia","Short Track Speed Skating","Short Track Speed Skating Men's 500 metres",2014
"Viktor An","Russia","Short Track Speed Skating","Short Track Speed Skating Men's 1,000 metres",2014
"Viktor An","Russia","Short Track Speed Skating","Short Track Speed Skating Men's 5,000 metres Relay",2014
"Douglas Thomas ""Doug"" Anakin","Canada-1","Bobsleigh","Bobsleigh Men's Four",1964
"Svetlana Anastasovski-Obuina","Yugoslavia","Handball","Handball Women's Handball",1984
"Zygmunt Jzef Anczok","Poland","Football","Football Men's Football",1972
"Anja Jul Andersen","Denmark","Handball","Handball Women's Handball",1996
"milie Andol","France","Judo","Judo Women's Heavyweight",2016
"Olle Henrik Martin Anderberg","Sweden","Wrestling","Wrestling Men's Lightweight, Freestyle",1952
"Aage Jrgen Christian Andersen","Denmark","Football","Football Men's Football",1906
"Alf Steen Andersen","Norway","Ski Jumping","Ski Jumping Men's Normal Hill, Individual",1928
"Camilla Rseler Andersen","Denmark","Handball","Handball Women's Handball",1996
"Camilla Rseler Andersen","Denmark","Handball","Handball Women's Handball",2000
"Carl Albert Andersen","Norway","Gymnastics","Gymnastics Men's Team All-Around",1906
"Carl Rudolf Svend Andersen","Denmark","Gymnastics","Gymnastics Men's Team All-Around, Free System",1920
"Carl-Ebbe Andersen","Denmark","Rowing","Rowing Men's Coxed Pairs",1948
"Greta Marie Andersen (-Sonnichsen, -Veress)","Denmark","Swimming","Swimming Women's 100 metres Freestyle",1948
"Hjalmar Johan Andersen","Norway","Speed Skating","Speed Skating Men's 1,500 metres",1952
"Hjalmar Johan Andersen","Norway","Speed Skating","Speed Skating Men's 5,000 metres",1952
"Hjalmar Johan Andersen","Norway","Speed Skating","Speed Skating Men's 10,000 metres",1952
"Kristine Andersen","Denmark","Handball","Handball Women's Handball",2004
"Linda Widwey Andersen (-Cerup-Simonsen)","Norway","Sailing","Sailing Women's One Person Dinghy",1992
"Mads Christian Kruse Andersen","Denmark","Rowing","Rowing Men's Lightweight Coxless Fours",2008
"Vigo Carl Andersen","Denmark","Football","Football Men's Football",1906
"Anderson de Oliveira Rodrigues","Brazil","Volleyball","Volleyball Men's Volleyball",2004
"Alyssa Jean Anderson","United States","Swimming","Swimming Women's 4 x 200 metres Freestyle Relay",2012
"Andrea Arlene Anderson (-Bolder)","United States","Athletics","Athletics Women's 4 x 400 metres Relay",2000
"Charles Howard Anderson","United States","Equestrianism","Equestrianism Men's Three-Day Event, Team",1948
"Gary Lee Anderson","United States","Shooting","Shooting Men's Free Rifle, Three Positions, 300 metres",1964
"Gary Lee Anderson","United States","Shooting","Shooting Mixed Free Rifle, Three Positions, 300 metres",1968
"Jamie Louise Anderson","United States","Snowboarding","Snowboarding Women's Slopestyle",2014
"Jasey-Jay Anderson","Canada","Snowboarding","Snowboarding Men's Parallel Giant Slalom",2010
"John Franklin Anderson","United States","Athletics","Athletics Men's Discus Throw",1932
"John Edward Anderson","Australia","Sailing","Sailing Mixed Two Person Keelboat",1972
"Paul Edward Anderson","United States","Weightlifting","Weightlifting Men's Heavyweight",1956
"Thomas James ""Tom"" Anderson","Australia","Sailing","Sailing Mixed Three Person Keelboat",1972
"Agneta Monica Andersson","Sweden","Canoeing","Canoeing Women's Kayak Singles, 500 metres",1984
"Agneta Monica Andersson","Sweden","Canoeing","Canoeing Women's Kayak Doubles, 500 metres",1984
"Agneta Monica Andersson","Sweden","Canoeing","Canoeing Women's Kayak Doubles, 500 metres",1996
"Albert Per Andersson","Sweden","Gymnastics","Gymnastics Men's Team All-Around, Swedish System",1920
"Karl Arvid Andersson (-Holtman)","Sweden","Gymnastics","Gymnastics Men's Team All-Around, Swedish System",1920
"Arvid Leander Andersson","Sweden","Tug-Of-War","Tug-Of-War Men's Tug-Of-War",1912
"Erik Gsta Andersson","Sweden","Wrestling","Wrestling Men's Welterweight, Greco-Roman",1948
"Svensk Hjalmar Zakeus Andersson","Sweden","Athletics","Athletics Men's Cross-Country, Team",1912
"Lina Marie Andersson","Sweden","Cross Country Skiing","Cross Country Skiing Women's Team Sprint",2006
"Sune Isidor Andersson","Sweden","Football","Football Men's Football",1948
"Carola Anding (-Jacob)","East Germany","Cross Country Skiing","Cross Country Skiing Women's 4 x 5 kilometres Relay",1980
"Soslan Petrovich Andiyev","Soviet Union","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle",1976
"Soslan Petrovich Andiyev","Soviet Union","Wrestling","Wrestling Men's Super-Heavyweight, Freestyle",1980
"Manuel ngel Andrada","Argentina","Polo","Polo Men's Polo",1936
"Jos Leandro Andrade","Uruguay","Football","Football Men's Football",1924
"Jos Leandro Andrade","Uruguay","Football","Football Men's Football",1928
"Alessandro Andrei","Italy","Athletics","Athletics Men's Shot Put",1984
"Vasile Andrei","Romania","Wrestling","Wrestling Men's Heavyweight, Greco-Roman",1984
"Arnaldo Andreoli","Italy","Gymnastics","Gymnastics Men's Team All-Around",1920
"Dominic Andres","Switzerland","Curling","Curling Men's Curling",1998
"Frode Andresen","Norway","Biathlon","Biathlon Men's 4 x 7.5 kilometres Relay",2002
"Michelle ""Shelley"" Andrews (-Mitchell)","Australia","Hockey","Hockey Women's Hockey",1996
"Theresa Andrews","United States","Swimming","Swimming Women's 100 metres Backstroke",1984
"Theresa Andrews","United States","Swimming","Swimming Women's 4 x 100 metres Medley Relay",1984
"Yelena Valentinovna Andreyuk (-Chesnokova)","Soviet Union","Volleyball","Volleyball Women's Volleyball",1980
"Nikolaos Andriakopoulos","Greece","Gymnastics","Gymnastics Men's Rope Climbing",1896
"Nikolay Yefimovich Andrianov","Soviet Union","Gymnastics","Gymnastics Men's Floor Exercise",1972
"Nikolay Yefimovich Andrianov","Soviet Union","Gymnastics","Gymnastics Men's Individual All-Around",1976
