"team","total_unique_athletes","total_olympic_participations","total_gold_medals","total_silver_medals","total_bronze_medals","total_medals","first_year_of_participation","last_year_of_participation"
"Portugal",301,651,1,1,9,11,1912,2016
"Great Britain-2",46,56,1,4,5,10,1908,2014
"Azerbaijan",51,71,1,4,5,10,1996,2016
"Iran",143,218,1,4,3,8,1948,2016
"Mongolia",110,184,1,1,6,8,1964,2016
"Colombia",185,339,1,4,2,7,1932,2016
"Armenia",35,55,1,1,3,5,1994,2016
"Georgia",32,53,1,0,4,5,1994,2016
"Thailand",87,133,1,1,2,4,1956,2016
"Algeria",177,249,1,1,2,4,1972,2016
"Individual Olympic Athletes",21,24,1,0,2,3,1992,2016
"France-3",5,6,1,0,2,3,1920,1998
"Indonesia-1",4,6,1,0,2,3,1992,2016
"Marinai della nave da guerra ""Varese""",3,3,1,0,2,3,1906,1906
"Indonesia",39,67,1,1,0,2,1956,2016
"Australia-1",6,9,1,0,1,2,1988,2016
"England-1",2,2,1,1,0,2,1908,1912
"Luxembourg",70,189,1,1,0,2,1912,2016
"Elisabeth V",1,1,1,0,0,1,1924,1924
"Kullan",1,1,1,0,0,1,1920,1920
"Nykjbings paa Falster",1,1,1,0,0,1,1912,1912
"Swift",1,1,1,0,0,1,1948,1948
"Seawanhaka Boat Club-1",1,1,1,0,0,1,1904,1904
"New York Athletic Club #1-1",1,1,1,0,0,1,1904,1904
"Magdalen College Boat Club-1",1,1,1,0,0,1,1908,1908
"United Arab Emirates",51,110,1,0,0,1,1984,2016
"Jo",1,1,1,0,0,1,1920,1920
"Jordan",36,47,1,0,0,1,1984,2016
"Carabinier-15",1,1,1,0,0,1,1900,1900
"Unified Team-1",3,3,1,0,0,1,1992,1992
"Bera",1,1,1,0,0,1,1924,1924
"Gem",1,1,1,0,0,1,1964,1964
"Wannsee",1,1,1,0,0,1,1936,1936
"Sirene",1,1,1,0,0,1,1960,1960
"Complex II",1,1,1,0,0,1,1952,1952
"Uganda",39,66,1,0,0,1,1956,2016
"Slaghoken II",1,1,1,0,0,1,1956,1956
"China-2",3,4,1,0,0,1,1992,2016
"Dominican Republic",62,82,1,0,0,1,1968,2016
"Dormy-1",1,1,1,0,0,1,1908,1908
"London City Police-1",1,1,1,0,0,1,1908,1908
"Kitty-1",1,1,1,0,0,1,1912,1912
"Llanoria",1,1,1,0,0,1,1952,1952
"Nirefs",1,1,1,0,0,1,1960,1960
"Elvis Va",1,1,1,0,0,1,2008,2008
"Cote d'Ivoire",41,62,1,0,0,1,1964,2016
"Leander Club #1-1",1,1,1,0,0,1,1908,1908
"Great Britain/Germany",1,1,1,0,0,1,1896,1896
"Ancora",1,1,1,0,0,1,1920,1920
"Denmark/Sweden",1,1,1,0,0,1,1900,1900
"White Lady",1,1,1,0,0,1,1964,1964
"Nepal",15,16,1,0,0,1,1924,2016
"Esterel-1",1,1,1,0,0,1,1900,1900
"Amateur Athletic Association",1,1,1,0,0,1,1900,1900
"New York Athletic Club-1",1,1,1,0,0,1,1904,1904
"Jest",1,1,1,0,0,1,1956,1956
"Ghana",100,157,0,0,11,11,1952,2016
"Paraguay",54,68,0,11,0,11,1968,2016
"Chile",152,261,0,5,4,9,1912,2016
"St. Rose-2",6,6,0,0,6,6,1904,1904
"Racing Club de France",6,6,0,6,0,6,1900,1900
"West Germany-1",10,15,0,4,2,6,1968,1988
"Latvia",100,215,0,5,1,6,1924,2016
"Venezuela",157,235,0,0,6,6,1932,2016
"Socit Nautique de la Basse Seine-1",4,6,0,4,2,6,1906,1906
"Royal Club Nautique de Gand",4,6,0,5,0,5,1900,1908
"Moseley Wanderers",5,5,0,5,0,5,1900,1900
"Saudi Arabia",122,197,0,1,4,5,1972,2016
"USFSA",5,5,0,5,0,5,1900,1900
"Berliner Ruderverein von 1876-2",4,4,0,0,4,4,1912,1912
"Gallant",4,4,0,4,0,4,1932,1932
"Peru",137,211,0,4,0,4,1900,2016
"Martha-1",2,4,0,2,2,4,1900,1900
"Gitana-2",2,4,0,2,2,4,1900,1900
"Christian Brothers' College-1",4,4,0,4,0,4,1904,1904
"Pupilles de Neptune de Lille #2-1",4,4,0,0,4,4,1900,1900
"Brussels Swimming and Water Polo Club",4,4,0,4,0,4,1900,1900
"Montenegro",11,17,0,4,0,4,2008,2016
"Erna Signe",4,4,0,4,0,4,1912,1912
"Tajikistan",14,31,0,1,2,3,1996,2016
"Cambridge University Boat Club-2",3,3,0,0,3,3,1908,1908
"Ireland-2",5,5,0,3,0,3,1908,1998
"Quand-Mme-2",2,3,0,3,0,3,1900,1900
"Qatar",72,99,0,1,2,3,1984,2016
"Italy-2",39,45,0,3,0,3,1924,2016
"Puerto Rico",188,314,0,1,2,3,1948,2016
"Scotland-3",3,3,0,0,3,3,1908,1908
"Haiti",29,43,0,1,2,3,1900,2016
"K Division Metropolitan Police Team-3",3,3,0,0,3,3,1908,1908
"A North American Team",3,3,0,0,3,3,1900,1900
"Singapore",29,53,0,1,2,3,1952,2016
"Slovakia",89,195,0,1,2,3,1994,2016
"Snap",3,3,0,0,3,3,1948,1948
"Phalainis ton Thorichtou ""Hydra""-2",3,3,0,3,0,3,1906,1906
"East Germany-2",10,10,0,1,2,3,1968,1988
"Soviet Union-2",8,11,0,1,2,3,1960,1988
"Greece-1",4,4,0,3,0,3,1896,2004
"Leander Club-2",3,3,0,3,0,3,1908,1908
"Barion/Bari-2",3,3,0,3,0,3,1906,1906
"Mohawk Indians-2",3,3,0,0,3,3,1904,1904
"Libellule de Paris",3,3,0,0,3,3,1900,1900
"Elisabeth X",3,3,0,3,0,3,1952,1952
"Life boat naval ship ""Spetsai""-1",3,3,0,3,0,3,1906,1906
"Toronto Argonauts",3,4,0,2,1,3,1904,1912
"Nina Claire-2",3,6,0,0,3,3,1900,1900
"Nina",3,3,0,3,0,3,1912,1912
"Malaysia",77,143,0,2,1,3,1964,2016
"Estonia",36,80,0,1,2,3,1924,2016
"New College, Oxford-2",3,3,0,3,0,3,1912,1912
"Venilia",3,3,0,0,3,3,1960,1960
"Fornebo",3,3,0,3,0,3,1920,1920
"Boston Archers",3,3,0,0,3,3,1904,1904
"Roddklubben af 1912-1",3,3,0,3,0,3,1912,1912
"Iceland",57,139,0,3,0,3,1948,2014
"Hollandia",2,2,0,2,0,2,1928,1928
"Thames Rowing Club",2,2,0,2,0,2,1912,1912
"Gallia II",2,2,0,0,2,2,1912,1912
"Silja",2,2,0,2,0,2,1936,1936
"Lebanon",60,103,0,1,1,2,1948,2016
"Tornado",2,2,0,2,0,2,1952,1952
"Frankfurt Club",2,2,0,2,0,2,1900,1900
"Pistoja/Firenze",2,2,0,0,2,2,1906,1906
"Tango",2,3,0,2,0,2,1960,1964
"Favorite-1",1,2,0,2,0,2,1900,1900
"Niger",13,15,0,1,1,2,1964,2016
"Liverpool Police Team-2",2,2,0,2,0,2,1908,1908
"Favorite Hammonia-3",2,3,0,0,2,2,1900,1900
"Symphony",2,2,0,2,0,2,1948,1948
"Vision",2,2,0,2,0,2,1956,1956
"Wales-4",2,2,0,0,2,2,1908,1908
"Russia-2",15,18,0,2,0,2,1994,2016
"Web II",2,2,0,2,0,2,1960,1960
"United Arab Republic",43,73,0,1,1,2,1960,1960
"New York Turnverein, New York",2,2,0,2,0,2,1904,1904
"BLO Polo Club, Rugby",2,2,0,2,0,2,1900,1900
"Syria",58,71,0,1,1,2,1968,2016
"Mound City Rowing Club-2",2,2,0,2,0,2,1904,1904
"Mouchette-2",2,2,0,2,0,2,1908,1908
"Western Rowing Club-3",2,2,0,0,2,2,1904,1904
"Cornwall",2,2,0,2,0,2,1908,1908
"Polyteknisk Roklub-1",2,2,0,0,2,2,1912,1912
"Tritons Lillois-2",3,5,0,2,0,2,1900,1900
"Smyrna",2,2,0,2,0,2,1906,1906
"Tunisia",172,233,0,0,2,2,1960,2016
"France-2",35,42,0,0,2,2,1900,2014
"United States Golf Association-3",2,2,0,0,2,2,1904,1904
"Tip",2,2,0,2,0,2,1956,1956
"Kurush II",2,2,0,2,0,2,1948,1948
"Stella-2",2,2,0,0,2,2,1920,1920
"Ludwigshafener Ruder Verein-1",2,2,0,0,2,2,1900,1900
"Great Britain-3",7,7,0,0,2,2,1908,1976
"United States/France",2,2,0,2,0,2,1900,1900
"Tutti V",2,2,0,0,2,2,1928,1928
"Missouri Athletic Club-3",1,2,0,0,2,2,1904,1904
"Cincinnati Archers",2,2,0,2,0,2,1904,1904
"Kuwait",139,219,0,0,2,2,1968,2012
"Amstel Amsterdam",2,2,0,0,2,2,1908,1908
"Slaghoken",2,2,0,2,0,2,1948,1948
"United States/Great Britain",1,1,0,0,1,1,1900,1900
"Univ. of Brussels",1,1,0,0,1,1,1900,1900
"Sarcelle-3",1,2,0,0,1,1,1900,1900
"Netherlands Antilles",24,33,0,1,0,1,1952,2008
"Netherlands-1",2,2,0,0,1,1,2006,2016
"Santa Maria",1,1,0,1,0,1,1932,1932
"Moldova",47,78,0,0,1,1,1996,2016
"Israel",91,154,0,1,0,1,1952,2016
"Denmark-2",2,5,0,0,1,1,1912,2008
"Marmi II-1",1,1,0,1,0,1,1920,1920
"Namoussa",1,1,0,0,1,1,1924,1924
"Bem II",1,1,0,0,1,1,1936,1936
"Iraq",65,77,0,0,1,1,1948,2016
"Argonaut Rowing Club",1,1,0,0,1,1,1908,1908
"Bonzo",1,1,0,1,0,1,1924,1924
"Brazil-2",6,9,0,0,1,1,1996,2016
"Canada-2",37,43,0,1,0,1,1932,2016
"Mutafo",1,1,0,1,0,1,1964,1964
"Rowing Club Castillon-3",1,1,0,0,1,1,1900,1900
"Bingo",1,1,0,0,1,1,1964,1964
"Greece-2",2,2,0,0,1,1,1906,2008
"Boreas-2",1,1,0,1,0,1,1920,1920
"St. Louis Amateur Athletic Association",1,1,0,1,0,1,1904,1904
"St. Louis Southwest Turnverein #1-2",1,1,0,1,0,1,1904,1904
"Crabe II-1",1,1,0,1,0,1,1900,1900
"Crabe II-4",1,1,0,0,1,1,1900,1900
"Buraddoo",2,2,0,0,1,1,1956,1960
"Latvia-1",5,10,0,1,0,1,1992,2014
"Ormsund Roklub-2",1,1,0,0,1,1,1912,1912
"Widgeon",1,1,0,0,1,1,1964,1964
"Kyrgyzstan",35,59,0,1,0,1,1996,2016
"Leander Club #2-2",1,1,0,1,0,1,1908,1908
"Sweden-1",12,18,0,1,0,1,1912,2008
"Sweden-3",2,2,0,0,1,1,1912,1912
"Sweden-2",14,20,0,1,0,1,1912,2008
"Swedish Star",1,1,0,0,1,1,1932,1932
"May Be",1,1,0,0,1,1,1936,1936
"South Korea-2",2,2,0,0,1,1,1988,2016
"Guatemala",68,115,0,1,0,1,1952,2016
"Brynhild-2",1,1,0,1,0,1,1900,1900
"Willem-Six",1,1,0,0,1,1,1924,1924
"Tanzania",18,31,0,1,0,1,1964,2008
"Antwerpia V",2,2,0,0,1,1,1920,1924
"Guyana",25,29,0,0,1,1,1948,2016
"Central Turnverein, Chicago",1,1,0,0,1,1,1904,1904
"Berliner Ruderclub",1,1,0,0,1,1,1908,1908
"Thessalonki-1",1,1,0,0,1,1,1906,1906
"Bagatelle Polo Club, Paris",1,1,0,0,1,1,1900,1900
"Elsie",1,1,0,1,0,1,1920,1920
"Socit Nautique de Bayonne-2",1,2,0,0,1,1,1906,1906
"Encore",1,1,0,1,0,1,1952,1952
"Togo",18,27,0,0,1,1,1972,2016
"Germania II",1,1,0,0,1,1,1936,1936
"Socit Nautique de Bayonne-1",1,1,0,0,1,1,1906,1906
"Botswana",12,16,0,1,0,1,1980,2016
"Trans-Mississippi Golf Association-2",1,1,0,1,0,1,1904,1904
"Austria-2",21,31,0,0,1,1,1928,2016
"Gem IV",1,1,0,0,1,1,1956,1956
"Philippines",133,239,0,1,0,1,1932,2016
"Lucky Girl-1",1,1,0,0,1,1,1912,1912
"Bluebottle",1,1,0,0,1,1,1956,1956
"Guyoni",1,1,0,0,1,1,1908,1908
"Kerstin-1",1,1,0,0,1,1,1912,1912
"Espadarte",1,1,0,0,1,1,1952,1952
"Gwendoline-2",1,2,0,0,1,1,1900,1900
"Unified Team-2",2,2,0,1,0,1,1992,1992
"Ali-Baba II",3,3,0,0,1,1,1948,1948
"Caprice",1,1,0,0,1,1,1932,1932
"Ballerina IV",1,1,0,0,1,1,1960,1960
"Aphrodite",1,1,0,0,1,1,1964,1964
"Senegal",104,175,0,1,0,1,1964,2016
"Chicago Athletic Association",1,1,0,1,0,1,1904,1904
"Chuckles",1,1,0,0,1,1,1956,1956
"Malaysia-1",3,5,0,1,0,1,1992,2004
"Heatherbell",1,1,0,0,1,1,1912,1912
"Mignon-3",1,2,0,0,1,1,1900,1900
"Hurlingham-2",1,1,0,1,0,1,1908,1908
"Chicago Athletic Association-2",1,1,0,1,0,1,1904,1904
