"team","total_unique_athletes","total_olympic_participations","total_gold_medals","total_silver_medals","total_bronze_medals","total_medals","first_year_of_participation","last_year_of_participation"
"Berliner Ruderclub Sport-Borussia-1",3,3,0,0,0,0,1912,1912
"Bermuda",33,64,0,0,0,0,1936,2016
"Bermudes",1,1,0,0,0,0,1960,1960
"Bermudian",1,1,0,0,0,0,1960,1960
"Bhutan",6,9,0,0,0,0,1984,2012
"Blue Red",1,1,0,0,0,0,1924,1924
"Bohemia",9,15,0,0,0,0,1900,1912
"Bolivia",38,62,0,0,0,0,1936,2016
"Bosnia and Herzegovina",18,44,0,0,0,0,1992,2016
"Breslau",1,1,0,0,0,0,1936,1936
"Briar",1,1,0,0,0,0,2008,2008
"Brigantia",1,1,0,0,0,0,1964,1964
"British Virgin Islands",8,10,0,0,0,0,1984,2014
"Bronia",1,1,0,0,0,0,1960,1960
"Brunei",4,5,0,0,0,0,1996,2016
"Bu III",1,1,0,0,0,0,1952,1952
"Bulgaria-1",2,2,0,0,0,0,1992,1992
"Bulgaria-2",4,4,0,0,0,0,1988,1992
"Burevestnik",2,2,0,0,0,0,1952,1952
"Burkina Faso",1,1,0,0,0,0,1972,1972
"Burundi",1,1,0,0,0,0,2012,2012
"Buscape II",2,2,0,0,0,0,1948,1948
"Bylina-2",2,2,0,0,0,0,1912,1912
"Calcinhas",1,1,0,0,0,0,1960,1960
"Calimucho",1,1,0,0,0,0,2008,2008
"Calypse II",1,1,0,0,0,0,1960,1960
"Cambodia",4,5,0,0,0,0,1964,2016
"Cambria",2,2,0,0,0,0,1964,1964
"Camelia",3,3,0,0,0,0,1928,1928
"Canada-3",10,10,0,0,0,0,1964,2014
"Canopus",1,1,0,0,0,0,1956,1956
"Cape Verde",6,7,0,0,0,0,1996,2016
"Carabinier-5",1,1,0,0,0,0,1900,1900
"Cayman Islands",14,24,0,0,0,0,1984,2016
"Central African Republic",12,19,0,0,0,0,1984,2016
"Cercle Nautique de Reims-4",1,1,0,0,0,0,1900,1900
"Ceres II",1,1,0,0,0,0,1948,1948
"Cha-Cha III",1,1,0,0,0,0,1960,1960
"Chad",8,10,0,0,0,0,1972,2016
"Chaje II",1,1,0,0,0,0,1964,1964
"Chamukina",2,2,0,0,0,0,1960,1960
"Chicago Archers",1,1,0,0,0,0,1904,1904
"Chinese Taipei-1",4,5,0,0,0,0,1984,1996
"Chinese Taipei-2",3,4,0,0,0,0,1988,2000
"Chok",1,1,0,0,0,0,1960,1960
"Ciocca",2,2,0,0,0,0,1952,1952
"Ciocca II",4,4,0,0,0,0,1948,1948
"Ciocca III",2,2,0,0,0,0,1960,1960
"Circus",2,2,0,0,0,0,1960,1960
"Clementine V",1,1,0,0,0,0,1964,1964
"Club Nautique de Dieppe-5",2,3,0,0,0,0,1900,1900
"Club Nautique de Franais-1",2,2,0,0,0,0,1900,1900
"Comoros",11,15,0,0,0,0,1996,2016
"Compigne Polo Club",3,3,0,0,0,0,1900,1900
"Concordia Turnverein, St Louis",2,2,0,0,0,0,1904,1904
"Congo (Brazzaville)",18,28,0,0,0,0,1964,2016
"Congo (Kinshasa)",10,17,0,0,0,0,1968,2004
"Cook Islands",3,3,0,0,0,0,2012,2016
"Costa Rica",49,75,0,0,0,0,1936,2016
"Covunco III",1,1,0,0,0,0,1956,1956
"Crabe I-11",1,1,0,0,0,0,1900,1900
"Crabe I-2",1,1,0,0,0,0,1900,1900
"Crabe I-3",1,1,0,0,0,0,1900,1900
"Crabe II-12",1,1,0,0,0,0,1900,1900
"Crete",3,5,0,0,0,0,1906,1906
"Cuba-1",2,2,0,0,0,0,2008,2008
"Cuba-2",1,1,0,0,0,0,2008,2008
"Cupidon III",2,2,0,0,0,0,1928,1928
"Cupidon Viking",2,2,0,0,0,0,1928,1928
"Cyprus",28,53,0,0,0,0,1980,2016
"Czech Republic-1",6,8,0,0,0,0,1994,2010
"Czech Republic-2",8,8,0,0,0,0,1994,2012
"Czechoslovakia-1",3,3,0,0,0,0,1964,1992
"Czechoslovakia-2",3,4,0,0,0,0,1936,1968
"Czechoslovakia-3",1,1,0,0,0,0,1920,1920
"Daisy",1,1,0,0,0,0,1964,1964
"Damoiselle",2,2,0,0,0,0,1952,1952
"Damoiselle IV",2,2,0,0,0,0,1960,1960
"Dansk Idrts Forbund",2,4,0,0,0,0,1906,1906
"Davenport Turngemeinde, Davenport",1,1,0,0,0,0,1904,1904
"Denmark-1",2,4,0,0,0,0,1924,2000
"DeRuyter",3,3,0,0,0,0,1936,1952
"Diablo",1,1,0,0,0,0,1964,1964
"Dinah V",1,1,0,0,0,0,1960,1960
"Djibouti",11,14,0,0,0,0,1984,2016
"Dolfijn",2,2,0,0,0,0,1948,1948
"Dominica",5,5,0,0,0,0,1996,2016
"Dresden",1,1,0,0,0,0,1936,1936
"Druzhba",2,3,0,0,0,0,1956,1964
"Dylan-2",1,1,0,0,0,0,1908,1908
"EA II",2,2,0,0,0,0,1936,1936
"East Germany-3",1,1,0,0,0,0,1972,1972
"Ecuador",49,87,0,0,0,0,1968,2016
"Eissero VI",2,2,0,0,0,0,1952,1952
"El Salvador",41,69,0,0,0,0,1932,2016
"England",1,1,0,0,0,0,1912,1912
"Equatorial Guinea",12,23,0,0,0,0,1984,2016
"Eritrea",5,7,0,0,0,0,2000,2016
"Esperia",1,1,0,0,0,0,1936,1936
"Espuma del Mar",3,4,0,0,0,0,1960,1964
"Evita VI",2,2,0,0,0,0,1960,1960
"Fada",1,1,0,0,0,0,1936,1936
"Faneca",2,3,0,0,0,0,1956,1964
"Fantasio III",1,1,0,0,0,0,1960,1960
"Favorite-17",1,1,0,0,0,0,1900,1900
"Federated States of Micronesia",4,6,0,0,0,0,2004,2016
"Feo",1,1,0,0,0,0,1928,1928
"Finn II",1,1,0,0,0,0,1912,1912
"Firebird II",2,2,0,0,0,0,1964,1964
"Fortuna",1,1,0,0,0,0,1952,1952
"Fram",2,2,0,0,0,0,1908,1908
"France-4",2,2,0,0,0,0,1900,1900
"Frip IV",1,1,0,0,0,0,1960,1960
"Fruits",5,5,0,0,0,0,1928,1928
"Gabbiano",3,3,0,0,0,0,1960,1960
"Gabon",13,22,0,0,0,0,1988,2016
"Galatea II",2,2,0,0,0,0,1952,1952
"Galejan",2,2,0,0,0,0,1960,1960
"Galerna",3,3,0,0,0,0,1948,1948
"Galopin-20",1,1,0,0,0,0,1900,1900
"Galopin-9",1,2,0,0,0,0,1900,1900
"Gam II",1,1,0,0,0,0,1956,1956
"Gambia",8,8,0,0,0,0,1984,2016
"Gem II",1,1,0,0,0,0,1948,1948
"Gem III",1,1,0,0,0,0,1952,1952
"Gem VII",1,1,0,0,0,0,1960,1960
"Germany-3",6,8,0,0,0,0,1960,2014
"Gilliatt V",1,1,0,0,0,0,1956,1956
"Girl Pat",2,2,0,0,0,0,1952,1952
"Gitana-21",2,2,0,0,0,0,1900,1900
"Gran Gesto",1,1,0,0,0,0,2008,2008
"Great Britain-4",2,2,0,0,0,0,1908,1908
"Greece-3",3,3,0,0,0,0,1896,1906
"Grenada",10,13,0,0,0,0,1984,2016
"Grifo III",2,2,0,0,0,0,1960,1960
"Grifo IV",3,3,0,0,0,0,1964,1964
"Gteborgs Roddfrening-2",1,1,0,0,0,0,1912,1912
"Gteborgs Roddklubb-1",6,6,0,0,0,0,1912,1912
"Guam",24,33,0,0,0,0,1988,2012
"Guanahani",1,1,0,0,0,0,1964,1964
"Guinea",38,41,0,0,0,0,1968,2016
"Guinea Bissau",7,11,0,0,0,0,1996,2016
"Gustel V",1,1,0,0,0,0,1936,1936
"Gwendoline-22",1,1,0,0,0,0,1900,1900
"GyoshuII",1,1,0,0,0,0,1964,1964
"Hatuey",2,2,0,0,0,0,1924,1924
"Hb-20",1,1,0,0,0,0,1900,1900
"Hb-24",1,1,0,0,0,0,1900,1900
"Hirondelle",2,2,0,0,0,0,1952,1952
"Honduras",42,59,0,0,0,0,1968,2016
"Hong Kong",80,154,0,0,0,0,1952,2016
"Hong Kong-1",2,2,0,0,0,0,1988,2004
"Hungaria",1,1,0,0,0,0,1928,1928
"Hungaria Evezos Egylet",1,1,0,0,0,0,1912,1912
"Hungary-1",2,2,0,0,0,0,1992,2004
"Impala",1,1,0,0,0,0,1956,1956
"Inca",2,2,0,0,0,0,1956,1956
"India-1",2,2,0,0,0,0,2012,2012
"Indonesia-2",2,2,0,0,0,0,2004,2008
"Inga-Lill XXXXIII",1,1,0,0,0,0,1960,1960
"Ireland-3",1,1,0,0,0,0,1912,1912
"Israel-1",1,2,0,0,0,0,2002,2006
"Israel-2",1,1,0,0,0,0,2002,2002
"Italy-3",2,2,0,0,0,0,1976,1976
"Japan-1",4,8,0,0,0,0,1972,2004
"Japan-2",3,3,0,0,0,0,1972,2004
"Jill",1,1,0,0,0,0,1952,1952
"Joy",1,1,0,0,0,0,1948,1948
"June Climene",2,2,0,0,0,0,1960,1960
"Kiel",1,1,0,0,0,0,1936,1936
"Kingfisher",1,1,0,0,0,0,1956,1956
"Kiribati",1,1,0,0,0,0,2012,2012
"KNS",1,1,0,0,0,0,1936,1936
"Kon-Tiki",1,1,0,0,0,0,1956,1956
"Konstanz",1,1,0,0,0,0,1936,1936
"Kristiania Roklub",2,2,0,0,0,0,1912,1912
"Kristiania Roklub-1",2,2,0,0,0,0,1912,1912
"Kurush IV",3,4,0,0,0,0,1952,1956
"La Salle Turnverein, Chicago",2,2,0,0,0,0,1904,1904
"LaBandera",3,3,0,0,0,0,1948,1948
"Laos",8,8,0,0,0,0,1980,2016
"Latvia-2",7,10,0,0,0,0,1992,2014
"Lemzos Thorichton ""Psara""-3",3,3,0,0,0,0,1906,1906
"Lemzos Thorichton ""Spetsai""-4",3,3,0,0,0,0,1906,1906
"Lett",2,2,0,0,0,0,1960,1960
"Libellule de Paris-3",2,2,0,0,0,0,1900,1900
"Liberia",8,20,0,0,0,0,1984,2012
"Libya",41,54,0,0,0,0,1980,2016
"Liechtenstein",30,77,0,0,0,0,1936,2010
"Linglom",3,3,0,0,0,0,1964,1964
"Lotta IV",2,2,0,0,0,0,1948,1952
"Lucky Star",1,1,0,0,0,0,2008,2008
"Macedonia",8,21,0,0,0,0,1996,2016
"Mad Dog",1,1,0,0,0,0,1960,1960
"Madagascar",9,13,0,0,0,0,1972,2016
"Malawi",13,20,0,0,0,0,1972,2016
"Malaya",14,15,0,0,0,0,1956,1960
"Malaysia-2",1,3,0,0,0,0,2000,2008
"Maldives",8,12,0,0,0,0,1988,2012
"Mali",31,40,0,0,0,0,1964,2016
"Malta",32,47,0,0,0,0,1928,2016
"Marga-2",2,2,0,0,0,0,1912,1912
"Mari",1,1,0,0,0,0,1960,1960
"Marmara",1,1,0,0,0,0,1936,1936
"Marshall Islands",2,2,0,0,0,0,2008,2016
"Martha-27",2,2,0,0,0,0,1900,1900
"Matrero II",1,1,0,0,0,0,1936,1936
"Mauritania",10,13,0,0,0,0,1984,2016
"Mauritius",30,55,0,0,0,0,1984,2016
"Mauritius-1",1,1,0,0,0,0,1996,1996
"Mauritius-2",2,2,0,0,0,0,1996,1996
"May-Be 1960",1,1,0,0,0,0,1960,1960
"May Be VII",1,1,0,0,0,0,1952,1952
"Meteor",1,1,0,0,0,0,1960,1960
"Mexico-1",1,1,0,0,0,0,1992,1992
"Mexico-2",1,1,0,0,0,0,1992,1992
"Mignon-29",1,1,0,0,0,0,1900,1900
"Mirtala",1,1,0,0,0,0,1952,1952
"Mistral Hojris",1,1,0,0,0,0,2008,2008
"Monaco",35,84,0,0,0,0,1920,2016
"Monaco-1",1,1,0,0,0,0,1992,1992
"Monaco-2",1,1,0,0,0,0,1992,1992
"Monica",1,1,0,0,0,0,1964,1964
"Moorina",1,1,0,0,0,0,1948,1948
"Morena",1,1,0,0,0,0,1948,1948
"Mozambique",17,29,0,0,0,0,1980,2016
"Myanmar",8,9,0,0,0,0,1956,2012
"Mystery",2,2,0,0,0,0,1936,1936
"Naiad",1,1,0,0,0,0,1956,1956
"Namibia",8,16,0,0,0,0,1992,2016
"Nauru",4,6,0,0,0,0,1996,2016
"Nausikaa 4",1,1,0,0,0,0,1964,1964
"Nautikos Omilos-3",2,2,0,0,0,0,1906,1906
"Netherlands-2",2,2,0,0,0,0,2002,2008
"New York Athletic Club-4",3,3,0,0,0,0,1904,1904
"New York Athletic Club #2-4",2,2,0,0,0,0,1904,1904
"Nicaragua",29,35,0,0,0,0,1968,2012
"Nigeria-1",2,2,0,0,0,0,1992,2004
"Nigeria-2",3,3,0,0,0,0,1988,2004
"Nikh",2,2,0,0,0,0,1956,1956
"30. Februar",1,1,0,0,0,0,1952,1952
"Nirwana",1,1,0,0,0,0,1952,1952
"Nora",2,2,0,0,0,0,1948,1948
"Nortazo",1,1,0,0,0,0,1948,1948
"North Borneo",2,2,0,0,0,0,1956,1956
"North Korea-1",1,1,0,0,0,0,1992,1992
"North Yemen",7,8,0,0,0,0,1984,1988
"Norway-1",6,7,0,0,0,0,1912,1956
"Norway-2",3,3,0,0,0,0,1924,1952
"Norway-3",1,1,0,0,0,0,1912,1912
"Norwegian Rowing Association",2,2,0,0,0,0,1908,1908
"Norwegier Turnverein, Brooklyn",1,1,0,0,0,0,1904,1904
"Oleander II",1,1,0,0,0,0,1960,1960
"Oleander XII",1,1,0,0,0,0,1964,1964
"Olen",1,1,0,0,0,0,1964,1964
"Oman",42,66,0,0,0,0,1984,2016
"Omilos Ereton Peiraios-2",1,1,0,0,0,0,1906,1906
"Oxalis",1,1,0,0,0,0,2008,2008
"Paka V",1,1,0,0,0,0,1952,1952
"Pakaria",1,1,0,0,0,0,1960,1960
"Palau",4,4,0,0,0,0,2000,2016
"Palestine",12,12,0,0,0,0,1996,2016
"Pam",1,1,0,0,0,0,1956,1956
"Pampero",3,4,0,0,0,0,1948,1956
"Pan-Hellenic Athletic Club",1,1,0,0,0,0,1904,1904
"Panama",36,58,0,0,0,0,1952,2016
"Panhellenios Gymnastikos Syllogos-1",1,3,0,0,0,0,1906,1906
"Pannonia RC/National RC",1,1,0,0,0,0,1908,1908
"Papua New Guinea",15,27,0,0,0,0,1976,2016
"Partenope",1,1,0,0,0,0,1960,1960
"Passaic Turnverein, Passaic",2,2,0,0,0,0,1904,1904
"Paula",3,3,0,0,0,0,1956,1956
"Pegaso",2,2,0,0,0,0,1936,1936
"Peri",2,2,0,0,0,0,1960,1960
"Peri II",2,2,0,0,0,0,1964,1964
"Pettit-Poucet-6",1,1,0,0,0,0,1900,1900
"Phoenix",1,1,0,0,0,0,1964,1964
"Pierre et Jean-3",1,1,0,0,0,0,1900,1900
"Pierre et Jean-4",1,2,0,0,0,0,1900,1900
"Pigoule",1,1,0,0,0,0,1964,1964
"Plume-patte-32",1,1,0,0,0,0,1900,1900
"Plume-Patte-5",1,2,0,0,0,0,1900,1900
"Poland-1",3,3,0,0,0,0,1956,2016
"Poland-2",4,4,0,0,0,0,1956,2008
"Posillipo III",1,1,0,0,0,0,1960,1960
"Pousse-Moi Pas VII",1,1,0,0,0,0,1964,1964
"Primorka",2,2,0,0,0,0,1952,1952
"Proteus II",1,1,0,0,0,0,1964,1964
"Puerto Rico-1",1,1,0,0,0,0,1992,1992
"Puerto Rico-2",2,2,0,0,0,0,1992,1992
"Pupilles de Neptune de Lille #1-3",1,1,0,0,0,0,1900,1900
"Qu'Importe",3,3,0,0,0,0,1936,1936
"Quand-Mme-33",1,1,0,0,0,0,1900,1900
"R.-V. Germania, Leitmeritz",1,1,0,0,0,0,1912,1912
"Ral-Club Barcelona",1,1,0,0,0,0,1900,1900
"Red Dragon",1,1,0,0,0,0,1956,1956
"Refugee Olympic Athletes",5,6,0,0,0,0,2016,2016
"Relampago",1,1,0,0,0,0,2008,2008
"Rhodesia",2,2,0,0,0,0,1960,1960
"Rhythm",1,1,0,0,0,0,1948,1948
"Rififi",1,1,0,0,0,0,1960,1960
"rn-2",3,3,0,0,0,0,1912,1912
"Roddklubben af 1912-2",4,4,0,0,0,0,1912,1912
"Roklubb Kbnhavn-2",1,1,0,0,0,0,1912,1912
"Roma",4,4,0,0,0,0,1906,1906
"Romania-1",10,13,0,0,0,0,1928,2016
"Romania-2",12,14,0,0,0,0,1936,2010
"Romolo",1,1,0,0,0,0,1956,1956
"Rozenn-3",1,1,0,0,0,0,1900,1900
