"year","name","team","sport","event"
2012,"Raidel Acea Morales","Cuba","Athletics","Athletics Men's 4 x 400 metres Relay"
2012,"Loreto Achaerandio Snchez-Marn","Spain","Rhythmic Gymnastics","Rhythmic Gymnastics Women's Group"
2012,"Kieron Robert Achara","Great Britain","Basketball","Basketball Men's Basketball"
2012,"Janet Achola","Uganda","Athletics","Athletics Women's 1,500 metres"
2012,"Natalie Chioma Achonwa","Canada","Basketball","Basketball Women's Basketball"
2012,"Dallal Merwa Achour","Algeria","Volleyball","Volleyball Women's Volleyball"
2012,"Haykel Al-Achouri","Tunisia","Wrestling","Wrestling Men's Light-Heavyweight, Greco-Roman"
2012,"Chantal Achterberg","Netherlands","Rowing","Rowing Women's Coxed Eights"
2012,"Luz Mercedes Acosta Valdez","Mexico","Weightlifting","Weightlifting Women's Middleweight"
2012,"Amelia Lynn ""Amy"" Acuff (-Harvey)","United States","Athletics","Athletics Women's High Jump"
2012,"Crox Ernesto Acua Rodrguez","Venezuela","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
2012,"Mariko Adachi","Japan","Triathlon","Triathlon Women's Olympic Distance"
2012,"Yumi Adachi","Japan","Synchronized Swimming","Synchronized Swimming Women's Team"
2012,"Idrissa Adam","Cameroon","Athletics","Athletics Men's 100 metres"
2012,"Tomasz Adamiec","Poland","Judo","Judo Men's Lightweight"
2012,"Nafissatou Moussa Adamou","Niger","Swimming","Swimming Women's 50 metres Freestyle"
2012,"Antoine Xavier Adams","Saint Kitts and Nevis","Athletics","Athletics Men's 100 metres"
2012,"Antoine Xavier Adams","Saint Kitts and Nevis","Athletics","Athletics Men's 200 metres"
2012,"Antoine Xavier Adams","Saint Kitts and Nevis","Athletics","Athletics Men's 4 x 100 metres Relay"
2012,"Natalie Cammile Adams (-Brannan)","United States","Swimming","Swimming Women's 200 metres Butterfly"
2012,"Luke Kendall Adams","Australia","Athletics","Athletics Men's 50 kilometres Walk"
2012,"Lyukman Rasakovich Adams","Russia","Athletics","Athletics Men's Triple Jump"
2012,"Nicola Virginia Adams","Great Britain","Boxing","Boxing Women's Flyweight"
2012,"Valerie Kasanita Adams-Vili (-Price)","New Zealand","Athletics","Athletics Women's Shot Put"
2012,"Filip Kamil Adamski","Germany","Rowing","Rowing Men's Coxed Eights"
2012,"Christopher Thomas ""Chris"" Adcock","Great Britain","Badminton","Badminton Mixed Doubles"
2012,"Jangy McKinley Addy","Liberia","Athletics","Athletics Men's Decathlon"
2012,"Abrar Osman Adem","Eritrea","Athletics","Athletics Men's 5,000 metres"
2012,"Adenzia Aparecida Ferreira da Silva","Brazil","Volleyball","Volleyball Women's Volleyball"
2012,"Margaret Adetutu Adeoye","Great Britain","Athletics","Athletics Women's 200 metres"
2012,"Moriam Seun Adigun","Nigeria","Athletics","Athletics Women's 100 metres Hurdles"
2012,"Christian Donfack Adjoufack","Cameroon","Boxing","Boxing Men's Light-Heavyweight"
2012,"Jonna Eva-Maj Adlerteg","Sweden","Gymnastics","Gymnastics Women's Individual All-Around"
2012,"Jonna Eva-Maj Adlerteg","Sweden","Gymnastics","Gymnastics Women's Floor Exercise"
2012,"Jonna Eva-Maj Adlerteg","Sweden","Gymnastics","Gymnastics Women's Uneven Bars"
2012,"Jonna Eva-Maj Adlerteg","Sweden","Gymnastics","Gymnastics Women's Balance Beam"
2012,"Rebecca ""Becky"" Adlington","Great Britain","Swimming","Swimming Women's 400 metres Freestyle"
2012,"Rebecca ""Becky"" Adlington","Great Britain","Swimming","Swimming Women's 800 metres Freestyle"
2012,"Nathan Ghar-Jun Adrian","United States","Swimming","Swimming Men's 100 metres Freestyle"
2012,"Nathan Ghar-Jun Adrian","United States","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
2012,"Nathan Ghar-Jun Adrian","United States","Swimming","Swimming Men's 4 x 100 metres Medley Relay"
2012,"Adriana ""Adrianinha"" Moiss Pinto","Brazil","Basketball","Basketball Women's Basketball"
2012,"Jasper Aerents","Belgium","Swimming","Swimming Men's 50 metres Freestyle"
2012,"Jasper Aerents","Belgium","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
2012,"Sara Aerts","Belgium","Athletics","Athletics Women's Heptathlon"
2012,"Kseniya Dmitriyevna Afanasyeva","Russia","Gymnastics","Gymnastics Women's Team All-Around"
2012,"Kseniya Dmitriyevna Afanasyeva","Russia","Gymnastics","Gymnastics Women's Floor Exercise"
2012,"Kseniya Dmitriyevna Afanasyeva","Russia","Gymnastics","Gymnastics Women's Balance Beam"
2012,"Khairulnizam Mohd Afendy","Malaysia","Sailing","Sailing Men's One Person Dinghy"
2012,"Franois Jacques Affolter","Switzerland","Football","Football Men's Football"
2012,"Georgios Afroudakis","Greece","Water Polo","Water Polo Men's Water Polo"
2012,"Khristos Afroudakis","Greece","Water Polo","Water Polo Men's Water Polo"
2012,"Drago Agache","Romania","Swimming","Swimming Men's 100 metres Breaststroke"
2012,"Alphonsine Agahozo","Rwanda","Swimming","Swimming Women's 50 metres Freestyle"
2012,"Luca Agamennoni","Italy","Rowing","Rowing Men's Coxless Fours"
2012,"Komi-Mawussi Agbetoglo","Togo","Table Tennis","Table Tennis Men's Singles"
2012,"Marilyn Agliotti","Netherlands","Hockey","Hockey Women's Hockey"
2012,"Yannick Agnel","France","Swimming","Swimming Men's 100 metres Freestyle"
2012,"Yannick Agnel","France","Swimming","Swimming Men's 200 metres Freestyle"
2012,"Yannick Agnel","France","Swimming","Swimming Men's 4 x 100 metres Freestyle Relay"
2012,"Yannick Agnel","France","Swimming","Swimming Men's 4 x 200 metres Freestyle Relay"
2012,"Yannick Agnel","France","Swimming","Swimming Men's 4 x 100 metres Medley Relay"
2012,"Anna Agrafioti","Greece","Sailing","Sailing Women's One Person Dinghy"
